Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
10527838277,"Jan 9, 2024, 11:13:31 PM",Afternoon Run,Run,,1370,3.45,,,false,,,activities/10527838277.gpx,,,1370.0,1356.0,3451.7,3.844,2.545,88.2,82.6,1437.1,1448.8,37.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3907.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.519,0.0,,,,3524.0,,,,,,,,,,,,,""
10534309188,"Jan 10, 2024, 11:15:01 PM",Afternoon Run,Run,,1385,3.53,,,false,,,activities/10534309188.gpx,,,1385.0,1385.0,3536.9,3.936,2.554,93.1,87.8,1437.7,1448.9,33.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3994.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.554,0.0,,,,3688.0,,,,,,,,,,,,,""
10566396905,"Jan 15, 2024, 11:15:23 PM",Afternoon Run,Run,,1398,3.68,,,false,,,activities/10566396905.gpx,,,1398.0,1398.0,3687.2,4.406,2.638,94.2,95.2,1437.4,1450.9,33.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4161.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.638,0.0,,,,3724.0,,,,,,,,,,,,,""
10572915106,"Jan 16, 2024, 11:10:01 PM",Afternoon Run,Run,,1407,3.65,,,false,,,activities/10572915106.gpx,,,1407.0,1407.0,3649.7,3.69,2.594,96.2,91.2,1437.5,1448.6,32.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4118.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.594,0.0,,,,3722.0,,,,,,,,,,,,,""
10585341218,"Jan 18, 2024, 11:10:44 PM",Afternoon Run,Run,,1323,3.62,,,false,,,activities/10585341218.gpx,,,1323.0,1323.0,3623.0,4.16,2.738,91.9,88.1,1438.3,1448.6,30.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4063.6,1705618816.0,1.0,24.0,24.1,14.4,0.55,1013.1,2.9,6.1,62.0,0.0,1705580160.0,1705621248.0,0.25,,,0.0,1.0,0.15,32526.0,0.0,,,,,0.0,2.738,0.0,,,,3514.0,,,,,,,,,,,,,""
10610171098,"Jan 22, 2024, 10:25:23 PM",Afternoon Run,Run,,1379,3.65,,,false,,,activities/10610171098.gpx,,,1379.0,1379.0,3658.7,4.9,2.653,94.0,89.1,1437.3,1448.8,34.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4123.4,1705960832.0,1.0,23.6,23.6,14.1,0.55,1013.2,4.1,8.0,71.0,0.0,1705925888.0,1705966976.0,0.375,,,0.0,1.0,0.36,28651.0,2.0,,,,,0.0,2.653,0.0,,,,3660.0,,,,,,,,,,,,,""
10616773043,"Jan 23, 2024, 10:20:05 PM",Afternoon Run,Run,,1414,3.72,,,false,,,activities/10616773043.gpx,,,1414.0,1414.0,3719.9,4.264,2.631,93.8,89.7,1438.0,1448.8,37.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4181.1,1706047232.0,1.0,24.6,24.5,13.6,0.5,1012.3,3.5,7.0,62.0,0.0,1706012288.0,1706053376.0,0.375,,,0.0,1.0,0.26,30009.0,2.0,,,,,0.0,2.631,0.0,,,,3766.0,,,,,,,,,,,,,""
10630047779,"Jan 25, 2024, 11:11:04 PM",Afternoon Run,Run,,1387,3.70,,,false,,,activities/10630047779.gpx,,,1387.0,1387.0,3703.3,3.804,2.67,100.0,94.5,1436.9,1448.7,35.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4194.9,1706223616.0,1.0,24.2,24.7,16.1,0.6,1013.3,2.7,5.4,68.0,0.0,1706185088.0,1706226304.0,0.375,,,0.0,1.0,0.31,22637.0,0.0,,,,,0.0,2.67,0.0,,,,3696.0,,,,,,,,,,,,,""
10656872181,"Jan 29, 2024, 10:59:02 PM",Afternoon Run,Run,,1431,3.90,,,false,,,activities/10656872181.gpx,,,1431.0,1428.0,3906.0,4.412,2.735,109.5,103.8,1437.0,1449.1,35.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4449.0,1706565632.0,3.0,18.9,19.0,14.7,0.77,1015.9,4.5,10.4,359.0,0.0,1706530560.0,1706572032.0,0.625,,,0.3,5.0,0.92,17147.0,2.0,,,,,0.0,2.73,0.0,,,,3752.0,,,,,,,,,,,,,""
10664097879,"Jan 30, 2024, 11:03:02 PM",Afternoon Run,Run,,1337,3.70,,,false,,,activities/10664097879.gpx,,,1337.0,1337.0,3702.6,4.492,2.769,96.9,90.8,1437.1,1449.0,32.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4192.1,1706655616.0,2.0,19.0,18.9,13.5,0.7,1016.0,3.7,7.8,6.0,0.0,1706616960.0,1706658432.0,0.625,,,0.0,1.0,0.56,27210.0,0.0,,,,,0.0,2.769,0.0,,,,3562.0,,,,,,,,,,,,,""
