Reaction Date,Reaction Type,Parent Type,Parent ID
"Feb 7, 2024, 4:15:47 PM",Kudos,Activity,10684182140
"Feb 25, 2024, 2:30:11 PM",Kudos,Activity,10821648943
"Mar 12, 2024, 5:56:52 PM",Kudos,Activity,10944533399
"Mar 12, 2024, 5:56:54 PM",Kudos,Activity,10944533479
"Mar 12, 2024, 10:52:07 PM",Kudos,Activity,10946295446
"Mar 23, 2024, 9:51:42 AM",Kudos,Activity,11017462065
"Apr 1, 2024, 1:09:27 AM",Kudos,Activity,11079986589
"Apr 17, 2024, 2:43:19 PM",Kudos,Activity,11192254984
"Apr 20, 2024, 3:09:19 PM",Kudos,Activity,11224564894
"Jul 16, 2024, 11:04:40 PM",Kudos,Activity,11881810161
"Aug 12, 2024, 2:31:44 AM",Kudos,Activity,12123829309
"Jan 20, 2025, 4:43:27 PM",Kudos,Activity,13388947812
"Jan 20, 2025, 6:22:33 PM",Kudos,Activity,13398856068
"Jan 31, 2025, 4:14:43 PM",Kudos,Activity,13461509385
"Mar 1, 2025, 4:10:55 AM",Kudos,Activity,13737566871
"Mar 3, 2025, 2:09:26 AM",Kudos,Activity,13762462212
"Apr 13, 2025, 2:15:37 PM",Kudos,Activity,14165785554
"Apr 13, 2025, 2:15:39 PM",Kudos,Activity,14165509267
"Apr 17, 2025, 3:04:49 PM",Kudos,Activity,14183486666
"Apr 17, 2025, 8:54:27 PM",Kudos,Activity,14169947455
"Apr 18, 2025, 3:06:36 PM",Kudos,Activity,14213584337
"Apr 19, 2025, 4:49:06 PM",Kudos,Activity,14222873275
"Apr 22, 2025, 12:42:51 PM",Kudos,Activity,14251292639
"May 2, 2025, 4:29:54 PM",Kudos,Activity,14307693531
"May 2, 2025, 4:30:05 PM",Kudos,Activity,14321424739
"May 2, 2025, 4:30:55 PM",Kudos,Activity,14343626475
"May 7, 2025, 12:27:46 PM",Kudos,Activity,14404424428
"May 21, 2025, 3:35:06 PM",Kudos,Activity,14513205541
"May 21, 2025, 3:36:21 PM",Kudos,Activity,14539468682
"May 21, 2025, 6:06:26 PM",Kudos,Activity,14550546621
"May 22, 2025, 12:41:00 PM",Kudos,Activity,14556130396
"May 23, 2025, 2:39:33 PM",Kudos,Activity,14566686931
"Jun 13, 2025, 1:27:41 PM",Kudos,Activity,14782517559
"Jun 16, 2025, 12:57:13 PM",Kudos,Activity,14811558224
"Jun 20, 2025, 1:39:52 PM",Kudos,Activity,14845414553
"Jun 23, 2025, 1:58:17 PM",Kudos,Activity,14865759637
"Jun 25, 2025, 1:34:24 AM",Kudos,Activity,14900346701
"Jun 25, 2025, 1:34:32 AM",Kudos,Activity,14896546031
"Jun 25, 2025, 1:35:07 AM",Kudos,Activity,14900346500
"Jun 25, 2025, 1:33:28 PM",Kudos,Activity,14910918852
"Jun 26, 2025, 2:01:10 PM",Kudos,Activity,14921135607
"Jun 28, 2025, 11:12:16 PM",Kudos,Activity,14944122936
"Jul 1, 2025, 2:22:32 PM",Kudos,Activity,14972404050
"Jul 1, 2025, 2:22:37 PM",Kudos,Activity,14954109377
"Jul 2, 2025, 12:22:59 PM",Kudos,Activity,14983101130
